HIA,OB,p-gp inhibitor,p-gp substrates,BBB,Respiratory toxicity,Hepatotoxicity,half-life,CL,Cardiotoxicity1,Cardiotoxicity10,Cardiotoxicity30,Cardiotoxicity5,CYP1A2,CYP2C19,CYP2C9,CYP2D6,CYP3A4,Acute oral toxicity (LD50),IGC50,ESOL,logD,Caco-2 permeability,PPB,group,smiles
1,,,,,,,,,,,,,,,,,,,,,,,,training,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O 
0,,,,,,,,,,,,,,,,,,,,,,,,training,C(=O)(CC(C[N+](C)(C)C)OC(=O)C)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,OC(=O)C1=CCS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N\OC)/c1csc(n1)N 
1,,,,,,,,,,,,,,,,,,,,,,,,training,O/N=C\1/CCCC(c2ccc(cc2)C(C(=O)O)C)C1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1N)S(=O)(=O)Nc1c(c(C)ns1)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,CN1/C(=C(/O)\Nc2ccccn2)/C(=O)c2ccccc2S1(=O)=O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,C(#N)C(c1cc(cc(c1)Cn1cncn1)C(C#N)(C)C)(C)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1OCC(CO)O)Cl 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc2c(c1)OCC(CNC(=N)N)O2 
0,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C[N+](CCOc1ccccc1)(C)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,C(=O)(C1CCC(CC1)CN)O
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(c(c1)C1=NCC(=O)N(c2c1cc(cc2)Cl)CCN(CC)CC)F 
1,,,,,,,,,,,,,,,,,,,,,,,,training,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO
1,,,,,,,,,,,,,,,,,,,,,,,,training,c12c(c(c(c(c1n(cc(c2=O)C(=O)O)C1CC1)F)N1CC(C)NC(C)C1)F)N
1,,,,,,,,,,,,,,,,,,,,,,,,training,C=C1/C(=C\C=C\2/CCCC3(C)C2CCC3C(C)CCCC(C)C)/CC(CC1O)O
1,,,,,,,,,,,,,,,,,,,,,,,,training,O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1c2c(ccc1Cl)oc(=O)[nH]2 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C1=NCC(=O)N(c2c1cc(cc2)Cl)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,N=C(Nc1ccccc1)Nc1ccccc1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,C(=O)(C(C)NC(C(=O)OCC)CCC)N1C(C(=O)O)CC2CCCCC12
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(c(c(c1)Cl)/C=N/NC(=N)N)Cl 
1,,,,,,,,,,,,,,,,,,,,,,,,training,[C@@H]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@H]2CCC2=CC(=O)C=C[C@]12C 
0,,,,,,,,,,,,,,,,,,,,,,,,training,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)C1O[C@H]1O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]1N
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)/C(=C(/c1ccccc1)\CCCl)/c1ccc(cc1)OCCN(C)C
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1c[n+](c(nc1N1CCCCC1)N)[O-] 
0,,,,,,,,,,,,,,,,,,,,,,,,training,C(#N)C(c1ccccc1)OC1C(C(C(C(COC2C(C(C(C(CO)O2)O)O)O)O1)O)O)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,N/C(=N\C(C)C)/N=C(\N)/Nc1ccc(Cl)cc1
0,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc[n+](cc1)CC1=C(C(=O)O)N2C(=O)C(C2SC1)NC(=O)/C(=N\OC(C(=O)O)(C)C)/c1csc(n1)N
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(c(c(c1C(=O)C(=O)CC)Cl)Cl)OCC(=O)O 
0,,,,,,,,,,,,,,,,,,,,,,,,training,C1(C(C(CO)(OC1CO)OC1C(C(C(C(COC2C(C(C(C(CO)O2)O)O)O)O1)O)O)O)O)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc2c(c(c1)OCC(CNC(C)(C)C)O)CCCC2=O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,C1=CC2(C(=CC1=O)CCC1C3CC(C)C(C(=O)CO)(C3(C)CC(C21F)O)O)C
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1c2c3c(c(c1F)N1CCN(CC1)C)OCC(C)n3cc(c2=O)C(=O)O
1,,,,,,,,,,,,,,,,,,,,,,,,training,C(=O)(C1CC(CCC)CN1C)NC(C1C(C(C(C(O1)SC)O)O)O)C(C)Cl
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(cc(c1)O)C1(CC)CCCCN(C1)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c12c(cccc1)nccc2C(C1CC2CCN1CC2C=C)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1C(=O)C(C)NC(C)(C)C)Cl 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1c(c(cc2c1nc1c(nc(=O)[nH]c1=O)n2CC(C(C(CO)O)O)O)C)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(c2c3c1CC1C4(CCC(C(C34CCN1CC1CCC1)O2)O)O)O 
